Imaginary,,,,Sum,Real,,,,Sum,epsilon e(w),Refractive index n(w),Extension k(w),EELS (L(w)),Reflectivity (R(w)),Transmittance (A(w)),Emx,wavelength,Absorption (alfa(w))
5.747215,0.422055,0.42267,0.004283,0.283002666666667,5.747215,-0.661769,-0.661464,1.436605,0.037790666666667,0.285514699844956,0.40206054675361,0.351940359420662,3.47163119231142,0.23037201404628,0.009008369146468,-3.46262282316495,215.756675189635,4.04535382553564
6.130363,0.11203,0.11202,0.004976,0.076342,6.130363,-0.05645,-0.056524,1.454289,0.447105,0.453575773150419,0.671074054464341,0.056880458640989,0.37107682694132,0.039856462555548,20.0726301179514,19.70155329101,202.27187199192,0.697395718151503
6.513511,0.068943,0.068937,0.00582,0.0479,6.513511,0.269887,0.26977,1.474901,0.671519333333333,0.673225538018608,0.819983192313093,0.029207915753053,0.10568524275084,0.010038402292697,41.6397236827208,41.53403843997,190.373517447042,0.380492161089162
6.896658,0.05553,0.055535,0.006869,0.039311333333333,6.896658,0.500422,0.5003,1.499114,0.833278666666667,0.834205440674072,0.913094767080816,0.021526425706618,0.056490021261526,0.002189902064544,50.4753347537997,50.4188447325382,179.797229324696,0.296920792121898
7.279806,0.071274,0.071331,0.008199,0.050268,7.279806,0.720692,0.720645,1.527845,0.989727333333333,0.991003060626511,0.995170938572827,0.025255962594773,0.051184871211044,0.000166070383549,42.8827851288981,42.8316002576871,170.334209455582,0.367717016066409
7.662954,0.488073,0.489214,0.009937,0.329074666666667,7.662954,0.964294,0.963363,1.56239,1.163349,1.20899587759544,1.08911543869221,0.151074282383607,0.225135929667269,0.007012402578943,0.483781711957466,0.258645782290197,161.817492314322,2.31535055297719
8.046101,0.118628,0.118347,0.012285,0.083086666666667,8.046101,0.520986,0.521125,1.604653,0.882254666666667,0.886158389359876,0.940322565938557,0.044179874904808,0.10580559389504,0.001463643498175,19.4557747113325,19.3499691174375,154.11191084974,0.710951471302898
8.429249,0.039372,0.039349,0.015619,0.031446666666667,8.429249,0.740163,0.740086,1.657597,1.04594866666667,1.04642128521271,1.02283184147722,0.015372354179572,0.028718482453299,0.000185138447553,55.0611398622347,55.0324213797814,147.106818175617,0.259154802191607
8.812397,0.028642,0.028636,0.020735,0.026004333333333,8.812397,0.863755,0.863634,1.72624,1.15120966666667,1.15150333129301,1.07301281398678,0.0121174383914,0.019611703869996,0.001274616965088,61.155094914185,61.135483210315,140.710864478756,0.213567355456109
9.195544,0.030086,0.030075,0.030202,0.030121,9.195544,0.969486,0.969353,1.820736,1.25319166666667,1.25355359998836,1.11954126021666,0.013452384950141,0.019168298736582,0.003221066466802,56.5712799001812,56.5521116014446,134.847921993522,0.247403995427912
