#       Ef[,Ry] T [K],         N,     DOS(Ef),       S,     s/t,       R_H,  kappa0, c,   chi
-0.09758,600,2.38099327,110.96653,6.21042E-06,3.50005E+20,1.75989E-09,5.32892E+15,7.2928201,1.65664E-09
-0.09758,900,2.37738648,120.25498,1.59918E-05,3.54881E+20,4.07716E-09,8.22235E+15,9.8617595,1.7953E-09
-0.09758,1200,2.39344977,122.08586,2.73527E-05,3.59576E+20,6.55165E-09,1.14856E+16,11.650941,1.82264E-09
-0.09708,300,2.39048369,90.859552,4.89358E-07,3.43746E+20,4.65846E-10,2.57675E+15,3.3789407,1.35646E-09
-0.09708,600,2.35305979,112.54033,5.86379E-06,3.4914E+20,1.99355E-09,5.27868E+15,7.1393925,1.68013E-09
-0.09708,900,2.34731071,120.3623,1.57218E-05,3.53131E+20,4.29646E-09,8.12994E+15,9.731004,1.79691E-09
-0.09708,1200,2.3629745,121.7184,2.71027E-05,3.57221E+20,6.7686E-09,1.13608E+16,11.564868,1.81715E-09
-0.09658,300,2.36724713,95.187072,1.67193E-07,3.43481E+20,7.34588E-10,2.57486E+15,3.4178077,1.42106E-09
-0.09658,600,2.32470504,114.33075,5.56669E-06,3.48342E+20,2.2503E-09,5.22782E+15,6.9720404,1.70686E-09
-0.09658,900,2.31720028,120.53025,1.549E-05,3.51414E+20,4.53794E-09,8.03763E+15,9.5899917,1.79941E-09
-0.09658,1200,2.33258967,121.36177,2.68784E-05,3.5489E+20,7.00471E-09,1.12367E+16,11.472815,1.81183E-09
-0.09608,300,2.34281092,100.46418,-1.77449E-07,3.43352E+20,1.02155E-09,2.5731E+15,3.4374027,1.49984E-09
-0.09608,600,2.29587955,116.29944,5.32271E-06,3.47599E+20,2.53E-09,5.17633E+15,6.7928251,1.73625E-09
-0.09608,900,2.28704159,120.74606,1.5298E-05,3.4972E+20,4.80178E-09,7.94559E+15,9.4404594,1.80264E-09
-0.09608,1200,2.302293,121.0125,2.66808E-05,3.5258E+20,7.26033E-09,1.11136E+16,11.375546,1.80661E-09
-0.09558,300,2.31693393,106.71247,-5.41621E-07,3.43394E+20,1.32618E-09,2.57075E+15,3.4308759,1.59313E-09
-0.09558,600,2.26654412,118.40246,5.13538E-06,3.46898E+20,2.83255E-09,5.12421E+15,6.6043092,1.76765E-09
-0.09558,900,2.25682439,120.99609,1.51474E-05,3.48043E+20,5.08813E-09,7.85398E+15,9.2842575,1.80637E-09
-0.09558,1200,2.27208312,120.66683,2.65107E-05,3.50285E+20,7.53576E-09,1.09916E+16,11.273881,1.80145E-09
-0.09508,300,2.28937696,113.89049,-9.14192E-07,3.43639E+20,1.64809E-09,2.56709E+15,3.3931567,1.70029E-09
-0.09508,600,2.23667119,120.59085,5.00809E-06,3.46226E+20,3.15794E-09,5.0715E+15,6.4095381,1.80032E-09
-0.09508,900,2.22654189,121.26605,1.50394E-05,3.46375E+20,5.39716E-09,7.76297E+15,9.1233163,1.8104E-09
-0.09508,1200,2.24195961,120.32081,2.63685E-05,3.48003E+20,7.83134E-09,1.08708E+16,11.168679,1.79629E-09
-0.09458,300,2.25992177,121.86779,-1.27525E-06,3.44112E+20,1.98702E-09,2.56141E+15,3.3225014,1.81938E-09
-0.09458,600,2.20624599,122.81158,4.94404E-06,3.45567E+20,3.50619E-09,5.01826E+15,6.2119783,1.83347E-09
-0.09458,900,2.19619093,121.54126,1.4975E-05,3.44706E+20,5.72905E-09,7.67275E+15,8.95961,1.81451E-09
-0.09458,1200,2.21192308,119.97034,2.62549E-05,3.45729E+20,8.14737E-09,1.07513E+16,11.060825,1.79105E-09
-0.09408,300,2.22839603,130.40565,-1.59699E-06,3.44818E+20,2.34283E-09,2.55316E+15,3.2218604,1.94684E-09
-0.09408,600,2.17526735,125.00888,4.94608E-06,3.44905E+20,3.87746E-09,4.96462E+15,6.0154138,1.86628E-09
-0.09408,900,2.16577205,121.80697,1.49549E-05,3.43028E+20,6.08399E-09,7.58352E+15,8.7951183,1.81847E-09
-0.09408,1200,2.18197516,119.61126,2.61702E-05,3.43458E+20,8.48415E-09,1.06333E+16,10.951215,1.78569E-09
-0.09358,300,2.19470119,139.15345,-1.8464E-06,3.45743E+20,2.71553E-09,2.54202E+15,3.0995666,2.07744E-09
-0.09358,600,2.14374824,127.12592,5.01657E-06,3.44222E+20,4.27197E-09,4.91074E+15,5.8238012,1.89788E-09
-0.09358,900,2.13528945,122.04858,1.49795E-05,3.41334E+20,6.46218E-09,7.49547E+15,8.6317862,1.82208E-09
-0.09358,1200,2.15211852,119.23941,2.61145E-05,3.41188E+20,8.842E-09,1.05169E+16,10.840742,1.78014E-09
-0.09308,300,2.15883861,147.66786,-1.98933E-06,3.46843E+20,3.10545E-09,2.52795E+15,2.9688855,2.20455E-09
-0.09308,600,2.11171575,129.10674,5.15723E-06,3.43499E+20,4.69008E-09,4.85681E+15,5.6410931,1.92745E-09
-0.09308,900,2.10475094,122.25197,1.50488E-05,3.39615E+20,6.86388E-09,7.4088E+15,8.4714838,1.82512E-09
-0.09308,1200,2.12235686,118.8507,2.60881E-05,3.38915E+20,9.22121E-09,1.04023E+16,10.730282,1.77434E-09
-0.09258,300,2.12092771,155.45738,-1.99548E-06,3.48048E+20,3.51345E-09,2.51125E+15,2.8462123,2.32085E-09
-0.09258,600,2.07921066,130.89828,5.36901E-06,3.42716E+20,5.13226E-09,4.80308E+15,5.4710424,1.9542E-09
-0.09258,900,2.07416777,122.40372,1.51625E-05,3.37862E+20,7.28934E-09,7.3237E+15,8.3159676,1.82738E-09
-0.09258,1200,2.0926949,118.44116,2.60906E-05,3.36634E+20,9.6221E-09,1.02896E+16,10.62068,1.76823E-09
-0.09208,300,2.08121017,162.04687,-1.84299E-06,3.49262E+20,3.94116E-09,2.49252E+15,2.7481206,2.41922E-09
-0.09208,600,2.04628641,132.45243,5.65193E-06,3.41852E+20,5.59913E-09,4.74983E+15,5.3170056,1.9774E-09
-0.09208,900,2.04355443,122.49142,1.532E-05,3.36069E+20,7.73886E-09,7.24037E+15,8.1668443,1.82869E-09
-0.09208,1200,2.06313833,118.00704,2.61221E-05,3.34342E+20,1.0045E-08,1.0179E+16,10.51274,1.76174E-09
-0.09158,300,2.040037,167.04857,-1.52163E-06,3.50378E+20,4.39107E-09,2.47252E+15,2.6879561,2.49389E-09
-0.09158,600,2.01300768,133.72792,6.00503E-06,3.40887E+20,6.0914E-09,4.69736E+15,5.181761,1.99644E-09
-0.09158,900,2.01292834,122.50386,1.55206E-05,3.34228E+20,8.21279E-09,7.159E+15,8.0255388,1.82888E-09
-0.09158,1200,2.03369372,117.54481,2.6182E-05,3.32037E+20,1.04902E-08,1.00705E+16,10.407208,1.75484E-09
-0.09108,300,1.99783886,170.22064,-1.03372E-06,3.51283E+20,4.86661E-09,2.45204E+15,2.6729984,2.54125E-09
-0.09108,600,1.97944844,134.6918,6.4263E-06,3.39802E+20,6.60995E-09,4.64597E+15,5.0673623,2.01083E-09
-0.09108,900,1.98230959,122.43122,1.57628E-05,3.32332E+20,8.7115E-09,7.07976E+15,7.8932671,1.82779E-09
-0.09108,1200,2.00436853,117.05126,2.62698E-05,3.29715E+20,1.0958E-08,9.96423E+15,10.304768,1.74747E-09
-0.09058,300,1.95508518,171.49651,-3.92618E-07,3.51873E+20,5.37192E-09,2.43178E+15,2.7031325,2.5603E-09
-0.09058,600,1.94568974,135.32054,6.91267E-06,3.38576E+20,7.15574E-09,4.59598E+15,4.9750391,2.02022E-09
-0.09058,900,1.95172051,122.26526,1.60453E-05,3.30375E+20,9.23542E-09,7.00282E+15,7.7710164,1.82532E-09
-0.09058,1200,1.97517095,116.5235,2.63848E-05,3.27372E+20,1.14489E-08,9.86034E+15,10.206031,1.7396E-09
-0.09008,300,1.91224054,170.97749,3.80533E-07,3.52065E+20,5.9117E-09,2.41217E+15,2.7714269,2.55255E-09
-0.09008,600,1.91181726,135.60056,7.46006E-06,3.37193E+20,7.72985E-09,4.54766E+15,4.9051543,2.0244E-09
-0.09008,900,1.92118529,121.99939,1.6366E-05,3.28351E+20,9.78498E-09,6.92832E+15,7.6595311,1.82135E-09
-0.09008,1200,1.94610984,115.95904,2.65263E-05,3.25008E+20,1.19631E-08,9.7589E+15,10.111528,1.73117E-09
-0.08958,300,1.86972698,168.89441,1.26064E-06,3.51796E+20,6.49084E-09,2.3934E+15,2.8662725,2.52145E-09
-0.08958,600,1.87791885,135.52817,8.06347E-06,3.35636E+20,8.33343E-09,4.50128E+15,4.8572207,2.02332E-09
-0.08958,900,1.89072955,121.62874,1.67231E-05,3.26254E+20,1.03607E-08,6.85638E+15,7.559307,1.81581E-09
-0.08958,1200,1.91719466,115.35579,2.66933E-05,3.22619E+20,1.25011E-08,9.65996E+15,10.021705,1.72216E-09
-0.08908,300,1.82789823,165.55332,2.22184E-06,3.51027E+20,7.11421E-09,2.37543E+15,2.9742036,2.47157E-09
-0.08908,600,1.84408209,135.10909,8.71707E-06,3.33893E+20,8.96772E-09,4.45705E+15,4.8299713,2.01706E-09
-0.08908,900,1.86037992,121.1502,1.7114E-05,3.24082E+20,1.09631E-08,6.78711E+15,7.470593,1.80867E-09
-0.08908,1200,1.88843532,114.71207,2.68848E-05,3.20204E+20,1.30632E-08,9.5636E+15,9.9369203,1.71255E-09
-0.08858,300,1.78702777,161.28209,3.23949E-06,3.49736E+20,7.78641E-09,2.35809E+15,3.0824618,2.4078E-09
-0.08858,600,1.81039204,134.3574,9.41437E-06,3.31953E+20,9.63396E-09,4.41516E+15,4.8214744,2.00584E-09
-0.08858,900,1.83016356,120.56236,1.75362E-05,3.21829E+20,1.15928E-08,6.72059E+15,7.3933993,1.79989E-09
-0.08858,1200,1.8598421,114.02667,2.70995E-05,3.17761E+20,1.36499E-08,9.46985E+15,9.8574422,1.70232E-09
-0.08808,300,1.74730882,156.38967,4.29071E-06,3.47916E+20,8.51162E-09,2.34117E+15,3.1807069,2.33476E-09
-0.08808,600,1.77692936,133.29425,1.01484E-05,3.29808E+20,1.03334E-08,4.37571E+15,4.8292798,1.98997E-09
-0.08808,900,1.80010783,119.86547,1.79868E-05,3.19495E+20,1.22503E-08,6.65685E+15,7.3275126,1.78949E-09
-0.08808,1200,1.83142553,113.29878,2.73363E-05,3.15289E+20,1.42615E-08,9.37873E+15,9.7834499,1.69145E-09
-0.08758,300,1.70886239,151.14199,5.35426E-06,3.45566E+20,9.29339E-09,2.32452E+15,3.2617413,2.25642E-09
-0.08758,600,1.74376867,131.9463,1.09117E-05,3.27456E+20,1.10674E-08,4.33876E+15,4.8505816,1.96985E-09
-0.08758,900,1.77023978,119.06129,1.8463E-05,3.17078E+20,1.29364E-08,6.59593E+15,7.2725161,1.77748E-09
-0.08758,1200,1.80319628,112.52807,2.75936E-05,3.12788E+20,1.48986E-08,9.29027E+15,9.7150348,1.67995E-09
-0.08708,300,1.67174948,145.7527,6.41013E-06,3.42693E+20,1.01346E-08,2.30802E+15,3.3214549,2.17596E-09
-0.08708,600,1.7109774,130.34419,1.16968E-05,3.24895E+20,1.1837E-08,4.30431E+15,4.8823819,1.94593E-09
-0.08708,900,1.74058586,118.15301,1.89616E-05,3.14577E+20,1.36516E-08,6.53781E+15,7.2278151,1.76392E-09
-0.08708,1200,1.77516506,111.7146,2.78701E-05,3.10255E+20,1.55616E-08,9.20446E+15,9.6522041,1.6678E-09
-0.08658,300,1.63598422,140.38378,7.43946E-06,3.3931E+20,1.1037E-08,2.29165E+15,3.3583226,2.09581E-09
-0.08658,600,1.67861501,128.52089,1.24961E-05,3.22128E+20,1.26436E-08,4.27228E+15,4.9216454,1.91871E-09
-0.08658,900,1.71117158,117.14504,1.94794E-05,3.11992E+20,1.43968E-08,6.48245E+15,7.1926641,1.74888E-09
-0.08658,1200,1.7473425,110.85886,2.81642E-05,3.07692E+20,1.62509E-08,9.12126E+15,9.5948853,1.65503E-09
-0.08608,300,1.6015461,135.15146,8.42484E-06,3.35439E+20,1.20015E-08,2.27538E+15,3.3727495,2.0177E-09
-0.08608,600,1.64673255,126.51037,1.33021E-05,3.19161E+20,1.34881E-08,4.24255E+15,4.9654332,1.88869E-09
-0.08608,900,1.68202119,116.04285,2.0013E-05,3.09325E+20,1.51724E-08,6.42979E+15,7.166197,1.73242E-09
-0.08608,1200,1.71973908,109.96174,2.84743E-05,3.05099E+20,1.69671E-08,9.04066E+15,9.5429319,1.64163E-09
-0.08558,300,1.5683905,130.13396,9.35088E-06,3.31112E+20,1.30277E-08,2.2592E+15,3.3664421,1.94279E-09
-0.08558,600,1.61537261,124.34628,1.41075E-05,3.16003E+20,1.43716E-08,4.21494E+15,5.0110119,1.85638E-09
-0.08558,900,1.65315748,114.85279,2.05592E-05,3.06578E+20,1.59794E-08,6.37972E+15,7.1474574,1.71465E-09
-0.08558,1200,1.69236498,109.02446,2.87988E-05,3.02475E+20,1.77108E-08,8.96259E+15,9.4961303,1.62764E-09
-0.08508,300,1.53645715,125.37935,1.02047E-05,3.2637E+20,1.41141E-08,2.24302E+15,3.341883,1.87181E-09
-0.08508,600,1.58456951,122.06097,1.49055E-05,3.12666E+20,1.5295E-08,4.18923E+15,5.0559347,1.82227E-09
-0.08508,900,1.62460153,113.5819,2.11146E-05,3.03754E+20,1.68185E-08,6.33213E+15,7.1354283,1.69568E-09
-0.08508,1200,1.66523006,108.0486,2.91359E-05,2.99823E+20,1.84823E-08,8.887E+15,9.4542068,1.61307E-09
-0.08458,300,1.50567678,120.91282,1.09764E-05,3.21268E+20,1.52584E-08,2.22671E+15,3.3019198,1.80512E-09
-0.08458,600,1.5543497,119.68473,1.56895E-05,3.09164E+20,1.62591E-08,4.16516E+15,5.0980956,1.78679E-09
-0.08458,900,1.59637264,112.23772,2.16758E-05,3.00857E+20,1.76903E-08,6.28687E+15,7.1290606,1.67561E-09
-0.08458,1200,1.63834374,107.03601,2.94839E-05,2.97143E+20,1.92823E-08,8.81379E+15,9.416836,1.59796E-09
-0.08408,300,1.47597599,116.74297,1.16587E-05,3.15868E+20,1.64573E-08,2.21003E+15,3.249452,1.74287E-09
-0.08408,600,1.52473241,117.24521,1.64535E-05,3.05513E+20,1.72646E-08,4.14243E+15,5.1357574,1.75037E-09
-0.08408,900,1.56848813,110.82813,2.22396E-05,2.97892E+20,1.85957E-08,6.24378E+15,7.1272988,1.65457E-09
-0.08408,1200,1.61171494,105.98881,2.98411E-05,2.94436E+20,2.01114E-08,8.74287E+15,9.3836482,1.58232E-09
-0.08358,300,1.44728076,112.86722,1.22474E-05,3.10242E+20,1.77076E-08,2.19273E+15,3.1872049,1.68501E-09
-0.08358,600,1.4957303,114.76711,1.71922E-05,3.01731E+20,1.83122E-08,4.12074E+15,5.1675591,1.71337E-09
-0.08358,900,1.54096335,109.36119,2.28028E-05,2.94864E+20,1.95354E-08,6.20267E+15,7.129104,1.63267E-09
-0.08358,1200,1.58535202,104.90935,3.02057E-05,2.91705E+20,2.09701E-08,8.67415E+15,9.3542384,1.56621E-09
-0.08308,300,1.41951866,109.27592,1.27404E-05,3.04465E+20,1.90057E-08,2.17449E+15,3.1175809,1.6314E-09
-0.08308,600,1.46735026,112.27201,1.79006E-05,2.97838E+20,1.94025E-08,4.09975E+15,5.1925051,1.67612E-09
-0.08308,900,1.51381164,107.84498,2.33621E-05,2.91779E+20,2.05101E-08,6.16334E+15,7.1334738,1.61003E-09
-0.08308,1200,1.55926274,103.80016,3.0576E-05,2.8895E+20,2.1859E-08,8.6075E+15,9.3281736,1.54965E-09
-0.08258,300,1.39262025,105.9552,1.31386E-05,2.98611E+20,2.03482E-08,2.15502E+15,3.0425945,1.58182E-09
-0.08258,600,1.43959417,109.77837,1.85744E-05,2.93852E+20,2.05358E-08,4.07915E+15,5.2099412,1.6389E-09
-0.08258,900,1.4870443,106.28748,2.39146E-05,2.88643E+20,2.15207E-08,6.12559E+15,7.1394583,1.58678E-09
-0.08258,1200,1.5334542,102.66391,3.09501E-05,2.86176E+20,2.27786E-08,8.5428E+15,9.3050013,1.53268E-09
-0.08208,300,1.3665199,102.88832,1.34453E-05,2.92752E+20,2.17319E-08,2.13409E+15,2.9638882,1.53603E-09
-0.08208,600,1.41245966,107.30163,1.92101E-05,2.89793E+20,2.17127E-08,4.05863E+15,5.2195208,1.60192E-09
-0.08208,900,1.46067069,104.69649,2.44575E-05,2.85463E+20,2.25677E-08,6.0892E+15,7.1461724,1.56303E-09
-0.08208,1200,1.50793281,101.50338,3.13265E-05,2.83383E+20,2.37296E-08,8.47991E+15,9.2842569,1.51536E-09
-0.08158,300,1.34115655,100.05577,1.36665E-05,2.86952E+20,2.3154E-08,2.11151E+15,2.8828201,1.49375E-09
-0.08158,600,1.38594089,104.85442,1.98047E-05,2.85683E+20,2.29334E-08,4.0379E+15,5.221165,1.56539E-09
-0.08158,900,1.43469822,103.07952,2.49879E-05,2.82246E+20,2.3652E-08,6.05395E+15,7.1528053,1.53889E-09
-0.08158,1200,1.48270429,100.32145,3.17033E-05,2.80575E+20,2.47126E-08,8.4187E+15,9.2654701,1.49771E-09
-0.08108,300,1.31647439,97.434649,1.38111E-05,2.81264E+20,2.46122E-08,2.08721E+15,2.8005904,1.45462E-09
-0.08108,600,1.36002915,102.44683,2.03556E-05,2.81539E+20,2.41983E-08,4.01672E+15,5.2150192,1.52944E-09
-0.08108,900,1.4091325,101.44371,2.55034E-05,2.78999E+20,2.47743E-08,6.01963E+15,7.158626,1.51447E-09
-0.08108,1200,1.45777363,99.121016,3.20791E-05,2.77754E+20,2.57281E-08,8.35902E+15,9.248172,1.47979E-09
-0.08058,300,1.29242384,94.998025,1.38904E-05,2.75729E+20,2.61048E-08,2.06119E+15,2.7183627,1.41824E-09
-0.08058,600,1.33471351,100.08672,2.08611E-05,2.77379E+20,2.55077E-08,3.99484E+15,5.2014085,1.49421E-09
-0.08058,900,1.38397737,99.79584,2.60016E-05,2.75729E+20,2.59351E-08,5.98602E+15,7.1629864,1.48987E-09
-0.08058,1200,1.43314508,97.905008,3.24521E-05,2.74923E+20,2.67768E-08,8.30073E+15,9.2319004,1.46164E-09
-0.08008,300,1.26896255,92.715187,1.3917E-05,2.70378E+20,2.7631E-08,2.0336E+15,2.6373352,1.38416E-09
-0.08008,600,1.30998133,97.780025,2.13198E-05,2.73222E+20,2.68618E-08,3.97209E+15,5.1807938,1.45977E-09
-0.08008,900,1.35923505,98.142212,2.64802E-05,2.72443E+20,2.71353E-08,5.95292E+15,7.1653218,1.46518E-09
-0.08008,1200,1.40882218,96.676333,3.28208E-05,2.72085E+20,2.78592E-08,8.24368E+15,9.2162049,1.44329E-09
-0.07958,300,1.24605618,90.553107,1.39043E-05,2.65227E+20,2.91906E-08,2.00463E+15,2.5587321,1.35188E-09
-0.07958,600,1.28581868,95.53111,2.17309E-05,2.69082E+20,2.82607E-08,3.94831E+15,5.1537298,1.4262E-09
-0.07958,900,1.33490625,96.488695,2.69374E-05,2.69149E+20,2.83753E-08,5.92012E+15,7.165149,1.44049E-09
-0.07958,1200,1.38480773,95.43786,3.31839E-05,2.69244E+20,2.89759E-08,8.18771E+15,9.2006516,1.42481E-09
-0.07908,300,1.22367867,88.479136,1.38653E-05,2.60284E+20,3.07845E-08,1.97459E+15,2.4837195,1.32092E-09
-0.07908,600,1.2622107,93.343092,2.2094E-05,2.64973E+20,2.97046E-08,3.92342E+15,5.1208268,1.39353E-09
-0.07908,900,1.31099025,94.840689,2.73714E-05,2.65853E+20,2.96557E-08,5.88743E+15,7.1620636,1.41589E-09
-0.07908,1200,1.36110384,94.192399,3.35399E-05,2.66401E+20,3.01275E-08,8.13269E+15,9.1848264,1.40621E-09
-0.07858,300,1.2018117,86.46433,1.38108E-05,2.55544E+20,3.24143E-08,1.9438E+15,2.4132747,1.29084E-09
-0.07858,600,1.23914188,91.218128,2.24092E-05,2.60909E+20,3.11937E-08,3.89732E+15,5.0827171,1.36181E-09
-0.07858,900,1.28748504,93.203131,2.77806E-05,2.62563E+20,3.09772E-08,5.85469E+15,7.1557349,1.39144E-09
-0.07858,1200,1.33771189,92.942679,3.38876E-05,2.63561E+20,3.13146E-08,8.07846E+15,9.1683383,1.38755E-09
-0.07808,300,1.18044344,84.486568,1.37491E-05,2.50999E+20,3.40824E-08,1.91264E+15,2.3480575,1.26131E-09
-0.07808,600,1.21659626,89.157685,2.26768E-05,2.56901E+20,3.2728E-08,3.87001E+15,5.0400266,1.33105E-09
-0.07808,900,1.26438744,91.580502,2.81637E-05,2.59285E+20,3.23402E-08,5.82172E+15,7.1459008,1.36722E-09
-0.07808,1200,1.31463263,91.69133,3.42256E-05,2.60725E+20,3.25376E-08,8.02488E+15,9.1508218,1.36887E-09
-0.07758,300,1.15956646,82.532634,1.36848E-05,2.46632E+20,3.57915E-08,1.8815E+15,2.2883279,1.23214E-09
-0.07758,600,1.19455757,87.162756,2.28974E-05,2.52957E+20,3.43076E-08,3.84148E+15,4.9933526,1.30127E-09
-0.07758,900,1.2416932,89.976838,2.85195E-05,2.56024E+20,3.37452E-08,5.7884E+15,7.132362,1.34328E-09
-0.07758,1200,1.29186615,90.440871,3.45529E-05,2.57898E+20,3.37972E-08,7.97182E+15,9.1319386,1.3502E-09
-0.07708,300,1.13917547,80.598794,1.36182E-05,2.42428E+20,3.75443E-08,1.85073E+15,2.2339366,1.20327E-09
-0.07708,600,1.17300936,85.234035,2.30719E-05,2.49088E+20,3.59323E-08,3.81175E+15,4.9432473,1.27247E-09
-0.07708,900,1.21939713,88.395753,2.88473E-05,2.52788E+20,3.51926E-08,5.75457E+15,7.1149759,1.31967E-09
-0.07708,1200,1.26941192,89.193699,3.48686E-05,2.55082E+20,3.50938E-08,7.91915E+15,9.1113791,1.33159E-09
-0.07658,300,1.11926501,78.689836,1.35459E-05,2.3837E+20,3.93433E-08,1.82064E+15,2.1843871,1.17477E-09
-0.07658,600,1.151935,83.372035,2.32016E-05,2.45298E+20,3.76021E-08,3.78088E+15,4.8902085,1.24467E-09
-0.07658,900,1.19749318,86.840452,2.91463E-05,2.49581E+20,3.66828E-08,5.72014E+15,7.0936507,1.29645E-09
-0.07658,1200,1.24726884,87.952076,3.51715E-05,2.5228E+20,3.64279E-08,7.86673E+15,9.088863,1.31305E-09
-0.07608,300,1.09982756,76.816957,1.34612E-05,2.34443E+20,4.11901E-08,1.79148E+15,2.1389484,1.14681E-09
-0.07608,600,1.13131775,81.577171,2.32878E-05,2.41595E+20,3.93167E-08,3.74892E+15,4.8346748,1.21788E-09
-0.07608,900,1.17597452,85.313753,2.94161E-05,2.46408E+20,3.8216E-08,5.685E+15,7.0683396,1.27366E-09
-0.07608,1200,1.22543524,86.718125,3.54611E-05,2.49495E+20,3.77999E-08,7.81446E+15,9.06414,1.29463E-09
-0.07558,300,1.08085228,74.995063,1.33557E-05,2.30639E+20,4.3085E-08,1.76343E+15,2.0967883,1.11961E-09
-0.07558,600,1.11114079,79.849785,2.33321E-05,2.37984E+20,4.10758E-08,3.71596E+15,4.7770263,1.19209E-09
-0.07558,900,1.15483371,83.818111,2.96564E-05,2.43274E+20,3.97926E-08,5.64907E+15,7.0390354,1.25133E-09
-0.07558,1200,1.20390897,85.493821,3.57364E-05,2.46728E+20,3.92103E-08,7.76222E+15,9.0369895,1.27635E-09
-0.07508,300,1.06232445,73.240055,1.32205E-05,2.26952E+20,4.50268E-08,1.73655E+15,2.0570972,1.09341E-09
-0.07508,600,1.09138721,78.190154,2.33364E-05,2.34467E+20,4.2879E-08,3.68206E+15,4.7175891,1.16731E-09
-0.07508,900,1.1340627,82.355634,2.98673E-05,2.40183E+20,4.14127E-08,5.6123E+15,7.0057657,1.2295E-09
-0.07508,1200,1.18268738,84.280993,0.000035997,2.43984E+20,4.06595E-08,7.70991E+15,9.0072205,1.25824E-09
-0.07458,300,1.04422546,71.566576,1.30479E-05,2.23383E+20,4.70127E-08,1.71087E+15,2.0191817,1.06843E-09
-0.07458,600,1.07204005,76.598459,2.33029E-05,2.31049E+20,4.47258E-08,3.64731E+15,4.6566423,1.14355E-09
-0.07458,900,1.11365298,80.928104,3.00489E-05,2.37139E+20,4.30764E-08,5.57462E+15,6.9685882,1.20819E-09
-0.07458,1200,1.16176738,83.081313,3.62423E-05,2.41263E+20,4.21479E-08,7.65744E+15,8.9746708,1.24033E-09
-0.07408,300,1.02653337,69.986464,1.2833E-05,2.19937E+20,4.90386E-08,1.6863E+15,1.9825171,1.04484E-09
-0.07408,600,1.05308231,75.074746,2.32339E-05,2.27732E+20,4.66155E-08,3.61181E+15,4.5944266,1.1208E-09
-0.07408,900,1.09359562,79.536997,3.02015E-05,2.34145E+20,4.47839E-08,5.53601E+15,6.9275871,1.18742E-09
-0.07408,1200,1.1411455,81.896306,3.64719E-05,2.38569E+20,4.36757E-08,7.60473E+15,8.9392067,1.22264E-09
-0.07358,300,1.00922374,68.507989,1.25742E-05,2.16621E+20,5.10991E-08,1.66274E+15,1.9467593,1.02277E-09
-0.07358,600,1.03449702,73.618877,2.3132E-05,2.24518E+20,4.85477E-08,3.57562E+15,4.5311536,1.09907E-09
-0.07358,900,1.07388135,78.183497,3.03257E-05,2.31204E+20,4.65352E-08,5.49643E+15,6.8828693,1.16721E-09
-0.07358,1200,1.12081789,80.727342,3.66856E-05,2.35903E+20,4.52433E-08,7.55169E+15,8.9007213,1.20519E-09
-0.07308,300,0.99227051,67.13574,1.2274E-05,2.13446E+20,5.31883E-08,1.64004E+15,1.9117264,1.00228E-09
-0.07308,600,1.01626725,72.230482,2.3E-05,2.21407E+20,5.05215E-08,3.53883E+15,4.4670141,1.07834E-09
-0.07308,900,1.05450066,76.868517,3.04222E-05,2.28318E+20,4.83303E-08,5.45589E+15,6.8345613,1.14758E-09
-0.07308,1200,1.10078039,79.57564,3.68832E-05,2.33267E+20,4.68509E-08,7.49828E+15,8.8591338,1.188E-09
-0.07258,300,0.97564691,65.870942,1.1939E-05,2.10421E+20,5.53003E-08,1.61805E+15,1.8773634,9.83397E-10
-0.07258,600,0.99837621,70.908924,2.2841E-05,2.18401E+20,5.25362E-08,3.50152E+15,4.4021857,1.05861E-09
-0.07258,900,1.03544382,75.592712,3.04918E-05,2.2549E+20,5.0169E-08,5.41439E+15,6.7828067,1.12853E-09
-0.07258,1200,1.08102854,78.442273,3.70645E-05,2.30663E+20,4.84987E-08,7.44442E+15,8.8143882,1.17108E-09
-0.07208,300,0.95932622,64.711972,1.15795E-05,2.07554E+20,5.74298E-08,1.59662E+15,1.8437047,9.66094E-10
-0.07208,600,0.9808073,69.653262,2.26582E-05,2.155E+20,5.45912E-08,3.46378E+15,4.3368393,1.03986E-09
-0.07208,900,1.016701,74.356495,3.05356E-05,2.22721E+20,5.20512E-08,5.37194E+15,6.7277636,1.11008E-09
-0.07208,1200,1.06155764,77.328168,3.72297E-05,2.28092E+20,5.0187E-08,7.39008E+15,8.7664516,1.15444E-09
-0.07158,300,0.94328243,63.654919,1.12085E-05,2.04851E+20,5.95727E-08,1.57565E+15,1.8108409,9.50313E-10
-0.07158,600,0.96354419,68.462245,2.2455E-05,2.12701E+20,5.66858E-08,3.42568E+15,4.2711428,1.02208E-09
-0.07158,900,0.99826226,73.160054,3.05546E-05,2.20012E+20,5.39768E-08,5.32856E+15,6.6696022,1.09222E-09
-0.07158,1200,1.04236278,76.234114,3.73788E-05,2.25555E+20,5.19159E-08,7.33522E+15,8.7153133,1.13811E-09
-0.07108,300,0.92749074,62.69409,1.08404E-05,2.02311E+20,6.17266E-08,1.55506E+15,1.7788949,9.35969E-10
-0.07108,600,0.94657092,67.334302,2.22346E-05,2.10006E+20,5.88195E-08,3.38731E+15,4.2052641,1.00524E-09
-0.07108,900,0.98011766,72.003363,3.05501E-05,2.17364E+20,5.59456E-08,5.28429E+15,6.6085028,1.07495E-09
