#       Ef[,Ry] T [K],         N,     DOS(Ef),       S,     s/t,       R_H,  kappa0, c,   chi
-0.16508,300,6.97469277,195.33092,1.85336E-06,9.67853E+20,3.88508E-09,6.96736E+15,4.0997519,2.91612E-09
-0.16508,600,6.95947504,176.27994,7.9016E-06,9.63311E+20,3.84148E-09,1.45078E+16,8.2575059,2.63171E-09
-0.16508,900,6.95613309,170.55557,1.57088E-05,9.73521E+20,3.61062E-09,2.25618E+16,12.526956,2.54625E-09
-0.16508,1200,6.97002703,168.02442,2.24644E-05,9.85919E+20,3.31209E-09,3.012E+16,16.207992,2.50846E-09
-0.16458,300,6.92572881,196.18577,2.36E-06,9.67153E+20,3.9514E-09,6.95029E+15,4.1254047,2.92889E-09
-0.16458,600,6.9153165,176.95964,7.95973E-06,9.61063E+20,3.91618E-09,1.44062E+16,8.2031924,2.64186E-09
-0.16458,900,6.91348233,170.64287,1.56664E-05,9.6969E+20,3.69336E-09,2.23981E+16,12.409517,2.54755E-09
-0.16458,1200,6.92805945,167.71341,2.25042E-05,9.81184E+20,3.39488E-09,2.99413E+16,16.120202,2.50382E-09
-0.16408,300,6.87669618,195.88898,2.87114E-06,9.65815E+20,4.02221E-09,6.93883E+15,4.1825657,2.92445E-09
-0.16408,600,6.87100971,177.46573,8.05142E-06,9.58797E+20,3.99076E-09,1.4309E+16,8.1604198,2.64941E-09
-0.16408,900,6.87081566,170.68205,1.56456E-05,9.65936E+20,3.77551E-09,2.22354E+16,12.296994,2.54814E-09
-0.16408,1200,6.88617185,167.38412,2.25529E-05,9.76524E+20,3.47732E-09,2.97603E+16,16.033453,2.4989E-09
-0.16358,300,6.82787141,194.55047,3.35478E-06,9.63895E+20,4.09724E-09,6.93187E+15,4.2669253,2.90447E-09
-0.16358,600,6.826598,177.79965,8.17231E-06,9.56496E+20,4.06534E-09,1.42161E+16,8.1282071,2.6544E-09
-0.16358,900,6.82814569,170.66866,1.5646E-05,9.62249E+20,3.85715E-09,2.20742E+16,12.189676,2.54794E-09
