Energy,T,N,DOS,S,sigma,RH,kappa,c,chi
-0.06008,1200,0.66491129,56.781573,3.76878E-05,1.77478E+20,1.02636E-07,5.94279E+15,6.8379203,8.477E-10
-0.05958,1200,0.65079602,56.142536,3.76507E-05,1.75791E+20,1.0529E-07,5.87982E+15,6.7381836,8.3816E-10
-0.05908,1200,0.63683908,55.514814,3.76174E-05,1.74131E+20,1.07979E-07,5.81699E+15,6.6380504,8.28789E-10
-0.05858,1200,0.62303774,54.897563,3.75888E-05,1.72495E+20,1.10702E-07,5.75436E+15,6.5376432,8.19574E-10
-0.05808,1200,0.60938949,54.289933,3.75658E-05,1.70883E+20,1.1346E-07,5.69196E+15,6.4370819,8.10502E-10
-0.05758,1200,0.59589204,53.691072,3.75493E-05,1.69294E+20,1.16253E-07,5.62982E+15,6.336484,8.01562E-10
-0.05708,1200,0.5825433,53.100125,3.75402E-05,1.67728E+20,1.1908E-07,5.56798E+15,6.2359643,7.92739E-10
-0.05658,1200,0.56934139,52.516239,3.75392E-05,1.66181E+20,1.21942E-07,5.50647E+15,6.1356358,7.84022E-10
-0.05608,1200,0.55628466,51.938562,3.75471E-05,1.64655E+20,1.24838E-07,5.44533E+15,6.0356093,7.75398E-10
-0.05558,1200,0.54337166,51.366245,3.75646E-05,1.63148E+20,1.2777E-07,5.38457E+15,5.9359941,7.66854E-10
-0.05508,1200,0.53060116,50.798443,3.75925E-05,1.61658E+20,1.30738E-07,5.32423E+15,5.8368983,7.58377E-10
-0.05458,1200,0.51797214,50.234315,3.76314E-05,1.60185E+20,1.33741E-07,5.26432E+15,5.7384282,7.49955E-10
-0.05408,1200,0.50548377,49.67303,3.7682E-05,1.58729E+20,1.36781E-07,5.20487E+15,5.6406896,7.41576E-10
-0.05358,1200,0.49313545,49.113763,3.77447E-05,1.57287E+20,1.39859E-07,5.1459E+15,5.5437872,7.33226E-10
-0.05308,1200,0.48092679,48.555701,3.78202E-05,1.55859E+20,1.42975E-07,5.08742E+15,5.4478248,7.24895E-10
-0.05258,1200,0.46885757,47.998041,3.79089E-05,1.54445E+20,1.4613E-07,5.02945E+15,5.3529053,7.1657E-10
-0.05208,1200,0.4569278,47.439997,3.80113E-05,1.53043E+20,1.49326E-07,4.97199E+15,5.2591311,7.08239E-10
-0.05158,1200,0.44513767,46.880799,3.81278E-05,1.51653E+20,1.52563E-07,4.91507E+15,5.166603,6.9989E-10
-0.05108,1200,0.43348756,46.319698,3.82588E-05,1.50274E+20,1.55843E-07,4.85868E+15,5.0754208,6.91513E-10
-0.05058,1200,0.42197804,45.75597,3.84047E-05,1.48906E+20,1.59167E-07,4.80284E+15,4.9856826,6.83097E-10
-0.05008,1200,0.41060985,45.188915,3.85656E-05,1.47547E+20,1.62536E-07,4.74755E+15,4.8974843,6.74632E-10
-0.04958,1200,0.39938391,44.617866,3.8742E-05,1.46197E+20,1.65954E-07,4.69281E+15,4.8109189,6.66107E-10
-0.04908,1200,0.3883013,44.042193,3.8934E-05,1.44855E+20,1.6942E-07,4.63862E+15,4.7260765,6.57512E-10
-0.04858,1200,0.37736325,43.461302,3.91418E-05,1.43521E+20,1.72938E-07,4.58499E+15,4.6430425,6.4884E-10
-0.04808,1200,0.36657113,42.874649,3.93657E-05,1.42195E+20,1.76509E-07,4.53191E+15,4.5618976,6.40082E-10
-0.04758,1200,0.35592645,42.281736,3.96057E-05,1.40875E+20,1.80136E-07,4.47938E+15,4.4827166,6.3123E-10
-0.04708,1200,0.34543082,41.682121,3.9862E-05,1.39562E+20,1.8382E-07,4.4274E+15,4.4055674,6.22278E-10
-0.04658,1200,0.33508598,41.075421,4.01347E-05,1.38255E+20,1.87565E-07,4.37596E+15,4.3305099,6.13221E-10
-0.04608,1200,0.32489373,40.461319,4.04238E-05,1.36953E+20,1.91372E-07,4.32506E+15,4.2575952,6.04053E-10
-0.04558,1200,0.31485596,39.839566,4.07295E-05,1.35656E+20,1.95245E-07,4.27469E+15,4.1868645,5.94771E-10
-0.04508,1200,0.3049746,39.209987,4.10517E-05,1.34363E+20,1.99187E-07,4.22485E+15,4.1183482,5.85372E-10
-0.04458,1200,0.29525162,38.572483,4.13906E-05,1.33075E+20,2.03199E-07,4.17552E+15,4.0520649,5.75854E-10
-0.04408,1200,0.28568902,37.927035,4.17461E-05,1.31791E+20,2.07286E-07,4.1267E+15,3.9880209,5.66218E-10
-0.04358,1200,0.27628876,37.273709,4.21182E-05,1.3051E+20,2.1145E-07,4.07838E+15,3.9262095,5.56465E-10
-0.04308,1200,0.26705281,36.61265,4.25069E-05,1.29233E+20,2.15695E-07,4.03055E+15,3.8666104,5.46595E-10
-0.04258,1200,0.25798306,35.944092,4.29123E-05,1.27959E+20,2.20025E-07,3.98321E+15,3.8091898,5.36614E-10
-0.04208,1200,0.24908136,35.268348,4.33344E-05,1.26687E+20,2.24442E-07,3.93633E+15,3.7539001,5.26526E-10
-0.04158,1200,0.24034945,34.585816,4.37731E-05,1.25418E+20,2.28951E-07,3.88993E+15,3.7006805,5.16337E-10
-0.04108,1200,0.23178898,33.89697,4.42284E-05,1.24152E+20,2.33555E-07,3.84398E+15,3.6494569,5.06053E-10
-0.04058,1200,0.22340145,33.20236,4.47004E-05,1.22887E+20,2.38259E-07,3.79847E+15,3.6001433,4.95683E-10
-0.04008,1200,0.21518823,32.502604,4.5189E-05,1.21625E+20,2.43066E-07,3.75341E+15,3.5526423,4.85236E-10
-0.03958,1200,0.20715052,31.798385,4.56944E-05,1.20364E+20,2.47981E-07,3.70877E+15,3.5068467,4.74723E-10
-0.03908,1200,0.19928935,31.09044,4.62164E-05,1.19105E+20,2.53008E-07,3.66454E+15,3.4626402,4.64154E-10
-0.03858,1200,0.19160554,30.379555,4.67551E-05,1.17847E+20,2.58152E-07,3.62073E+15,3.4198997,4.53541E-10
-0.03808,1200,0.18409975,29.666554,4.73106E-05,1.1659E+20,2.63417E-07,3.57733E+15,3.3784968,4.42896E-10
-0.03758,1200,0.17677237,28.952294,4.78829E-05,1.15334E+20,2.68809E-07,3.53431E+15,3.3382993,4.32233E-10
-0.03708,1200,0.16962363,28.23765,4.84721E-05,1.1408E+20,2.74332E-07,3.49169E+15,3.2991732,4.21564E-10
-0.03658,1200,0.16265351,27.523511,4.90782E-05,1.12826E+20,2.79992E-07,3.44944E+15,3.2609847,4.10902E-10
-0.03608,1200,0.15586176,26.810767,4.97014E-05,1.11572E+20,2.85795E-07,3.40757E+15,3.2236019,4.00262E-10
-0.03558,1200,0.14924793,26.100305,5.03417E-05,1.1032E+20,2.91745E-07,3.36607E+15,3.1868963,3.89655E-10
-0.03508,1200,0.14281134,25.392993,5.09992E-05,1.09067E+20,2.97849E-07,3.32493E+15,3.1507446,3.79096E-10
-0.03458,1200,0.1365511,24.689682,5.16742E-05,1.07816E+20,3.04113E-07,3.28414E+15,3.11503,3.68596E-10
-0.03408,1200,0.1304661,23.99119,5.23666E-05,1.06564E+20,3.10543E-07,3.24371E+15,3.0796436,3.58168E-10
-0.03358,1200,0.12455504,23.298303,5.30768E-05,1.05313E+20,3.17146E-07,3.20362E+15,3.044485,3.47824E-10
-0.03308,1200,0.11881642,22.611767,5.38049E-05,1.04061E+20,3.23929E-07,3.16388E+15,3.0094636,3.37574E-10
-0.03258,1200,0.11324857,21.932284,5.4551E-05,1.0281E+20,3.30897E-07,3.12447E+15,2.9744985,3.2743E-10
-0.03208,1200,0.10784964,21.26051,5.53154E-05,1.01559E+20,3.3806E-07,3.08541E+15,2.9395194,3.17401E-10
-0.03158,1200,0.10261762,20.597054,5.60982E-05,1.00307E+20,3.45425E-07,3.04667E+15,2.9044664,3.07496E-10
-0.03108,1200,0.09755037,19.942476,5.68999E-05,9.90559E+19,3.52999E-07,3.00828E+15,2.8692896,2.97724E-10
-0.03058,1200,0.0926456,19.297286,5.77205E-05,9.78042E+19,3.60791E-07,2.97021E+15,2.8339492,2.88092E-10
-0.03008,1200,0.0879009,18.661948,5.85604E-05,9.65523E+19,3.6881E-07,2.93247E+15,2.7984148,2.78607E-10
-0.02958,1200,0.08331377,18.036877,5.94199E-05,9.53001E+19,3.77064E-07,2.89506E+15,2.7626646,2.69275E-10
-0.02908,1200,0.07888158,17.422448,6.02992E-05,9.40477E+19,3.85564E-07,2.85797E+15,2.7266851,2.60102E-10
-0.02858,1200,0.07460163,16.818989,6.11987E-05,9.2795E+19,3.94318E-07,2.82122E+15,2.6904696,2.51093E-10
-0.02808,1200,0.07047115,16.226794,6.21188E-05,9.15419E+19,4.03338E-07,2.7848E+15,2.6540178,2.42252E-10
-0.02758,1200,0.06648727,15.646117,6.30597E-05,9.02886E+19,4.12633E-07,2.7487E+15,2.6173348,2.33583E-10
-0.02708,1200,0.06264711,15.077182,6.40218E-05,8.9035E+19,4.22217E-07,2.71294E+15,2.5804302,2.25089E-10
-0.02658,1200,0.05894769,14.520183,6.50055E-05,8.7781E+19,4.32099E-07,2.67751E+15,2.543317,2.16774E-10
-0.02608,1200,0.05538601,13.975286,6.60113E-05,8.65268E+19,4.42293E-07,2.64242E+15,2.506011,2.08639E-10
-0.02558,1200,0.05195903,13.442635,6.70394E-05,8.52724E+19,4.52813E-07,2.60766E+15,2.4685303,2.00687E-10
-0.02508,1200,0.04866366,12.92235,6.80903E-05,8.40178E+19,4.63671E-07,2.57325E+15,2.4308942,1.9292E-10
-0.02458,1200,0.04549681,12.414534,6.91644E-05,8.2763E+19,4.74882E-07,2.53918E+15,2.3931227,1.85338E-10
-0.02408,1200,0.04245535,11.919271,7.02621E-05,8.15082E+19,4.86461E-07,2.50546E+15,2.3552366,1.77945E-10
-0.02358,1200,0.03953612,11.436631,7.13838E-05,8.02533E+19,4.98426E-07,2.47209E+15,2.3172562,1.70739E-10
-0.02308,1200,0.03673598,10.966667,7.253E-05,7.89984E+19,5.10792E-07,2.43907E+15,2.2792021,1.63723E-10
-0.02258,1200,0.03405173,10.509419,7.3701E-05,7.77437E+19,5.23577E-07,2.40642E+15,2.2410944,1.56897E-10
